"id","airport_type","name","country","city","iso_region","municipality","gps_code","iata_code","altitude","continent","local_code","coordinates"
2871,small_airport,Brookings Regional Airport,US,Brookings,US-SD,"",KBKX,BKX,"1648",NA,BKX,"-96.816902, 44.304798"
3474,small_airport,Kira Airport,PG,Kira,PG-NPP,"",AYRA,KIQ,"1700",OC,KIRA,"147.332027778, -8.065111111110001"
2872,medium_airport,Mercer County Airport,US,Bluefield,US-WV,"",KBLF,BLF,"2857",NA,BLF,"-81.20770263671875, 37.295799255371094"
2873,medium_airport,Blythe Airport,US,Blythe,US-CA,"",KBLH,BLH,"399",NA,BLH,"-114.717002869, 33.6192016602"
2874,medium_airport,Bellingham International Airport,US,Bellingham,US-WA,"",KBLI,BLI,"170",NA,BLI,"-122.53800201416016, 48.79280090332031"
2875,small_airport,Monmouth Executive Airport,US,Belmar/Farmingdale,US-NJ,"",KBLM,BLM,"153",NA,BLM,"-74.12490082, 40.18690109"
2876,small_airport,Blue Canyon Nyack Airport,US,Emigrant Gap,US-CA,"",KBLU,BLU,"5284",NA,BLU,"-120.709999084, 39.2750015259"
2877,large_airport,Scott AFB/Midamerica Airport,US,Belleville,US-IL,"",KBLV,BLV,"459",NA,BLV,"-89.835197, 38.5452"
2878,small_airport,Kabwum,PG,"",PG-MPL,"",AYKB,KBM,"4450",OC,KBM,"147.191472222, -6.15547222222"
2879,small_airport,Brigham City Regional Airport,US,Brigham City,US-UT,"",KBMC,BMC,"4229",NA,BMC,"-112.061996, 41.552399"
2880,medium_airport,Monroe County Airport,US,Bloomington,US-IN,"",KBMG,BMG,"846",NA,BMG,"-86.61669921875, 39.145999908447266"
2881,large_airport,Central Illinois Regional Airport at Bloomington-Normal,US,Bloomington/Normal,US-IL,"",KBMI,BMI,"871",NA,BMI,"-88.91590118, 40.47710037"
2882,small_airport,Berlin Regional Airport,US,Berlin,US-NH,"",KBML,BML,"1161",NA,BML,"-71.17590332, 44.57540131"
2883,small_airport,Beaumont Municipal Airport,US,Beaumont,US-TX,"",KBMT,BMT,"32",NA,BMT,"-94.21579742430002, 30.0706996918"
2884,large_airport,Nashville International Airport,US,Nashville,US-TN,"",KBNA,BNA,"599",NA,BNA,"-86.6781997680664, 36.1245002746582"
2885,small_airport,Banning Municipal Airport,US,Banning,US-CA,"",KBNG,BNG,"2219",NA,BNG,"-116.850997925, 33.9230995178"
2886,small_airport,Barnwell Regional Airport,US,Barnwell,US-SC,"",KBNL,BNL,"246",NA,BNL,"-81.38829803, 33.25780106"
2887,medium_airport,Burns Municipal Airport,US,Burns,US-OR,"",KBNO,BNO,"4148",NA,BNO,"-118.955001831, 43.5918998718"
2888,small_airport,Boone Municipal Airport,US,Boone,US-IA,"",KBNW,BNW,"1160",NA,BNW,"-93.8476028442, 42.0495986938"
2889,large_airport,Boise Air Terminal/Gowen Field,US,Boise,US-ID,"",KBOI,BOI,"2871",NA,BOI,"-116.223, 43.5644"
2890,large_airport,General Edward Lawrence Logan International Airport,US,Boston,US-MA,"",KBOS,BOS,"20",NA,BOS,"-71.00520325, 42.36429977"
2891,small_airport,Bartow Municipal Airport,US,Bartow,US-FL,"",KBOW,BOW,"125",NA,BOW,"-81.78340148930002, 27.943399429299998"
2892,small_airport,Big Spring Mc Mahon-Wrinkle Airport,US,Big Spring,US-TX,"",KBPG,HCA,"2573",NA,BPG,"-101.522003, 32.212601"
2893,medium_airport,Miley Memorial Field,US,Big Piney,US-WY,"",KBPI,BPI,"6990",NA,BPI,"-110.1110001, 42.58509827"
2894,medium_airport,Ozark Regional Airport,US,Mountain Home,US-AR,"",KBPK,WMH,"928",NA,BPK,"-92.47049713130001, 36.3689002991"
2895,medium_airport,Southeast Texas Regional Airport,US,Beaumont/Port Arthur,US-TX,"",KBPT,BPT,"15",NA,BPT,"-94.02069854736328, 29.9507999420166"
2896,medium_airport,Brunswick Golden Isles Airport,US,Brunswick,US-GA,"",KBQK,BQK,"26",NA,BQK,"-81.46649932861328, 31.258800506591797"
2897,medium_airport,Brainerd Lakes Regional Airport,US,Brainerd,US-MN,"",KBRD,BRD,"1232",NA,BRD,"-94.13809967, 46.39830017"
2898,medium_airport,Southeast Iowa Regional Airport,US,Burlington,US-IA,"",KBRL,BRL,"698",NA,BRL,"-91.12550354003906, 40.783199310302734"
2899,medium_airport,Brownsville South Padre Island International Airport,US,Brownsville,US-TX,"",KBRO,BRO,"22",NA,BRO,"-97.4259033203125, 25.90679931640625"
2900,small_airport,Samuels Field,US,Bardstown,US-KY,"",KBRY,BRY,"669",NA,BRY,"-85.4996032715, 37.8143005371"
2901,small_airport,Skypark Airport,US,Bountiful,US-UT,"",KBTF,BTF,"4234",NA,BTF,"-111.927001953, 40.8694000244"
2902,medium_airport,W K Kellogg Airport,US,Battle Creek,US-MI,"",KBTL,BTL,"952",NA,BTL,"-85.2515029907, 42.307300567599995"
2903,medium_airport,Bert Mooney Airport,US,Butte,US-MT,"",KBTM,BTM,"5550",NA,BTM,"-112.49700164794922, 45.95479965209961"
2904,small_airport,Britton Municipal Airport,US,Britton,US-SD,"",KBTN,TTO,"1318",NA,BTN,"-97.743103027344, 45.815200805664"
2905,small_airport,Pittsburgh/Butler Regional Airport,US,Butler,US-PA,"",KBTP,BTP,"1248",NA,BTP,"-79.949699, 40.776901"
2906,medium_airport,Baton Rouge Metropolitan Airport,US,Baton Rouge,US-LA,"",KBTR,BTR,"70",NA,BTR,"-91.149597, 30.533199"
2907,medium_airport,Burlington International Airport,US,Burlington,US-VT,"",KBTV,BTV,"335",NA,BTV,"-73.15329742429999, 44.471900939899996"
